libId,BAD_CYCLES,MEAN_READ_LENGTH,PCT_ADAPTER,PCT_CHIMERAS,PCT_PF_READS,PCT_PF_READS_ALIGNED,PCT_READS_ALIGNED_IN_PAIRS,PF_ALIGNED_BASES,PF_HQ_ALIGNED_BASES,PF_HQ_ALIGNED_Q20_BASES,PF_HQ_ALIGNED_READS,PF_HQ_ERROR_RATE,PF_HQ_MEDIAN_MISMATCHES,PF_INDEL_RATE,PF_MISMATCH_RATE,PF_NOISE_READS,PF_READS,PF_READS_ALIGNED,READS_ALIGNED_IN_PAIRS,STRAND_BALANCE,TOTAL_READS,CODING_BASES,CORRECT_STRAND_READS,IGNORED_READS,INCORRECT_STRAND_READS,INTERGENIC_BASES,INTRONIC_BASES,MEDIAN_3PRIME_BIAS,MEDIAN_5PRIME_BIAS,MEDIAN_5PRIME_TO_3PRIME_BIAS,MEDIAN_CV_COVERAGE,PCT_CODING_BASES,PCT_CORRECT_STRAND_READS,PCT_INTERGENIC_BASES,PCT_INTRONIC_BASES,PCT_MRNA_BASES,PCT_RIBOSOMAL_BASES,PCT_USABLE_BASES,PCT_UTR_BASES,PF_ALIGNED_BASES,PF_BASES,RIBOSOMAL_BASES,UTR_BASES,fastq_total_reads,reads_aligned_sam,aligned,reads_with_mult_align,algn_seg_with_mult_algn,no_feature,ambiguous,too_low_aQual,not_aligned,alignment_not_unique,PERCENT_DUPLICATION,READ_PAIRS_EXAMINED,READ_PAIR_DUPLICATES,READ_PAIR_OPTICAL_DUPLICATES,UNMAPPED_READS,UNPAIRED_READS_EXAMINED,UNPAIRED_READ_DUPLICATES,mapped_reads_w_dups
lib12357_C95GDANXX,0,55.624106,0,0,1,1,0,873729224,781120041,765843618,14043398,0.004313,0,0.00004,0.004381,0,15708004,15708004,0,0.484834,15708004,381891365,37817,0,9050476,36185737,85676486,0.854375,0.220075,0.298748,0.608083,0.437082,0.004161,0.041415,0.098058,0.855576,0.00495,0.855562,0.418494,873729224,873743677,4325182,365650512,16452834,15708007,95.5%,1664607,10.6%,1560065,244750,0,0,6914129,0.668759,0,0,0,0,15708004,10504874,0.954729
lib12358_C95GDANXX,0,55.62115,0,0,1,1,0,348653075,294974150,289032271,5303782,0.004118,0,0.000035,0.004157,0,6268438,6268438,0,0.453145,6268438,138473365,16873,0,3432793,24653449,41772469,0.83586,0.162693,0.223592,0.647287,0.397167,0.004891,0.070711,0.119811,0.803612,0.005866,0.803601,0.406446,348653075,348657729,2045321,141708492,6963065,6268441,90.0%,964657,15.4%,680968,100985,0,0,4821177,0.565426,0,0,0,0,6268438,3544339,0.900241
lib12359_C95GDANXX,0,55.60363,0,0,1,1,0,573357074,520189538,509067561,9355361,0.003968,0,0.000039,0.004075,0,10311667,10311667,0,0.48624,10311667,251659688,26589,0,5903334,21334208,50963380,0.900859,0.173273,0.220192,0.624424,0.438923,0.004484,0.037209,0.088886,0.86462,0.009285,0.864607,0.425697,573357074,573366114,5323404,244076469,12054734,10311670,85.5%,956307,9.3%,980188,153703,0,0,3616972,0.638802,0,0,0,0,10311667,6587109,0.855404
lib12360_C95GDANXX,0,55.62007,0,0,1,1,0,799296869,690745600,676999149,12420121,0.004063,0,0.000037,0.004118,0,14370865,14370865,0,0.455368,14370865,325477651,42310,0,7705234,56956328,93341469,0.875601,0.182306,0.246761,0.642892,0.407205,0.005461,0.071258,0.116779,0.801808,0.010155,0.801796,0.394603,799296869,799308512,8116728,315404784,15659095,14370868,91.8%,1950745,13.6%,1616298,220993,0,0,9936740,0.668957,0,0,0,0,14370865,9613490,0.917733
lib12361_C95GDANXX,0,55.627535,0,0,1,1,0,545424814,478809638,469400163,8607989,0.003732,0,0.000053,0.003841,0,9805130,9805130,0,0.458713,9805130,184548025,23574,0,5448096,29589628,48188646,1.127966,0.073487,0.080857,0.828044,0.338356,0.004308,0.054251,0.088351,0.847275,0.010124,0.847259,0.508918,545424814,545435217,5521830,277576777,10608504,9805133,92.4%,1197142,12.2%,911163,156318,0,0,5281130,0.731078,0,0,0,0,9805130,7168311,0.924271
lib12362_C95GDANXX,0,55.622256,0,0,1,1,0,159032253,134166487,131513336,2412286,0.004217,0,0.000026,0.004273,0,2859180,2859180,0,0.439278,2859180,60787752,10026,0,1521953,12071850,19898226,0.87967,0.1601,0.2032,0.736387,0.382235,0.006544,0.075908,0.125121,0.784386,0.014586,0.784377,0.40215,159032253,159034043,2319578,63954860,4293367,2859183,66.6%,446895,15.6%,325634,44988,0,0,2249694,0.605498,0,0,0,0,2859180,1731227,0.665953
lib12363_C95GDANXX,0,55.61256,0,0,1,1,0,9932873,8313598,8142445,149486,0.003727,0,0.000023,0.003756,0,178611,178611,0,0.436737,178611,3294516,738,0,88255,906510,1688910,0.771494,0.156512,0.272464,1.064894,0.331678,0.008293,0.091264,0.170032,0.726052,0.012653,0.726042,0.394374,9932873,9933015,125683,3917266,1121335,178614,15.9%,29126,16.3%,28413,2355,0,0,156247,0.253389,0,0,0,0,178611,45258,0.159284
lib12364_C95GDANXX,0,55.619082,0,0,1,1,0,125397629,100346284,98253843,1804465,0.003663,0,0.00005,0.003673,0,2254639,2254639,0,0.414943,2254639,43926702,7886,0,1119243,15252882,15789948,0.867258,0.172932,0.231971,0.688037,0.350299,0.006997,0.121636,0.125919,0.742749,0.009697,0.742729,0.392449,125397629,125400952,1215956,49212215,3012322,2254642,74.8%,450175,20.0%,227062,30684,0,0,2743264,0.587772,0,0,0,0,2254639,1325213,0.748472
lib12365_C95GDANXX,0,55.630865,0,0,1,1,0,791905282,699061644,685481064,12566638,0.004351,0,0.000055,0.004457,0,14235248,14235248,0,0.438846,14235248,323038268,57116,0,8351090,34420999,68606464,0.931871,0.128953,0.164697,0.678798,0.407925,0.006793,0.043466,0.086635,0.856818,0.013082,0.856803,0.448892,791905282,791919157,10359597,355480122,15514038,14235251,91.8%,1668611,11.7%,1304014,215201,0,0,6578343,0.736191,0,0,0,0,14235248,10479855,0.917572
lib12366_C95GDANXX,0,55.620278,0,0,1,1,0,415821728,356586966,349620720,6411668,0.004126,0,0.000026,0.004174,0,7476181,7476181,0,0.442955,7476181,165298626,26333,0,4130910,29198109,46355589,0.945415,0.168935,0.201636,0.662494,0.397523,0.006334,0.070218,0.111479,0.806524,0.011779,0.806513,0.409001,415821728,415827269,4897810,170071653,8737456,7476184,85.6%,1064514,14.2%,783726,129343,0,0,5252144,0.622846,0,0,0,0,7476181,4656508,0.855647
