"cellType","ensemblID","geneSet","symbol"
"neutrophil","ENSG00000000938","neut3","FGR"
"neutrophil","ENSG00000001167","neut2","NFYA"
"neutrophil","ENSG00000002834","neut1","LASP1"
"neutrophil","ENSG00000003402","neut1","CFLAR"
"neutrophil","ENSG00000003756","neut1","RBM5"
"neutrophil","ENSG00000004059","neut1","ARF5"
"neutrophil","ENSG00000005020","neut2","SKAP2"
"neutrophil","ENSG00000005302","neut2","MSL3"
"neutrophil","ENSG00000005339","neut2","CREBBP"
"neutrophil","ENSG00000005483","neut4","KMT2E"
"neutrophil","ENSG00000005893","neut2","LAMP2"
"neutrophil","ENSG00000006652","neut2","IFRD1"
"neutrophil","ENSG00000006712","neut3","PAF1"
"neutrophil","ENSG00000007168","neut4","PAFAH1B1"
"neutrophil","ENSG00000007237","neut1","GAS7"
"neutrophil","ENSG00000007944","neut4","MYLIP"
"neutrophil","ENSG00000008083","neut1","JARID2"
"neutrophil","ENSG00000008118","neut3","CAMK1G"
"neutrophil","ENSG00000008130","neut5","NADK"
"neutrophil","ENSG00000008294","neut4","SPAG9"
"neutrophil","ENSG00000008438","neut1","PGLYRP1"
"neutrophil","ENSG00000008516","neut1","MMP25"
"neutrophil","ENSG00000009307","neut4","CSDE1"
"neutrophil","ENSG00000010539","neut2","ZNF200"
"neutrophil","ENSG00000010818","neut5","HIVEP2"
"neutrophil","ENSG00000011198","neut1","ABHD5"
"neutrophil","ENSG00000011422","neut3","PLAUR"
"neutrophil","ENSG00000011600","neut3","TYROBP"
"neutrophil","ENSG00000012048","neut2","BRCA1"
"neutrophil","ENSG00000012660","neut2","ELOVL5"
"neutrophil","ENSG00000012779","neut1","ALOX5"
"neutrophil","ENSG00000013364","neut3","MVP"
"neutrophil","ENSG00000013441","neut4","CLK1"
"neutrophil","ENSG00000013810","neut1","TACC3"
"neutrophil","ENSG00000014164","neut3","ZC3H3"
"neutrophil","ENSG00000015285","neut1","WAS"
"neutrophil","ENSG00000015475","neut3","BID"
"neutrophil","ENSG00000017797","neut2","RALBP1"
"neutrophil","ENSG00000018280","neut1","SLC11A1"
"neutrophil","ENSG00000021355","neut5","SERPINB1"
"neutrophil","ENSG00000022277","neut6","RTFDC1"
"neutrophil","ENSG00000022567","neut1","SLC45A4"
"neutrophil","ENSG00000022840","neut1","RNF10"
"neutrophil","ENSG00000022976","neut1","ZNF839"
"neutrophil","ENSG00000023287","neut2","RB1CC1"
"neutrophil","ENSG00000023608","neut4","SNAPC1"
"neutrophil","ENSG00000023839","neut2","ABCC2"
"neutrophil","ENSG00000024048","neut2","UBR2"
"neutrophil","ENSG00000024862","neut6","CCDC28A"
"neutrophil","ENSG00000025039","neut4","RRAGD"
"neutrophil","ENSG00000025293","neut2","PHF20"
"neutrophil","ENSG00000026103","neut5","FAS"
"neutrophil","ENSG00000026508","neut4","CD44"
"neutrophil","ENSG00000026950","neut2","BTN3A1"
"neutrophil","ENSG00000027075","neut4","PRKCH"
"neutrophil","ENSG00000027697","neut2","IFNGR1"
"neutrophil","ENSG00000028137","neut3","TNFRSF1B"
"neutrophil","ENSG00000033327","neut1","GAB2"
"neutrophil","ENSG00000033800","neut2","PIAS1"
"neutrophil","ENSG00000034152","neut3","MAP2K3"
"neutrophil","ENSG00000034713","neut4","GABARAPL2"
"neutrophil","ENSG00000035681","neut4","NSMAF"
"neutrophil","ENSG00000038219","neut2","BOD1L1"
"neutrophil","ENSG00000039319","neut4","ZFYVE16"
"neutrophil","ENSG00000039650","neut1","PNKP"
"neutrophil","ENSG00000040633","neut3","PHF23"
"neutrophil","ENSG00000042832","neut1","TG"
"neutrophil","ENSG00000043462","neut4","LCP2"
"neutrophil","ENSG00000047410","neut2","TPR"
"neutrophil","ENSG00000047644","neut2","WWC3"
"neutrophil","ENSG00000048649","neut2","RSF1"
"neutrophil","ENSG00000049245","neut5","VAMP3"
"neutrophil","ENSG00000049541","neut0","RFC2"
"neutrophil","ENSG00000051009","neut1","FAM160A2"
"neutrophil","ENSG00000054118","neut5","THRAP3"
"neutrophil","ENSG00000054267","neut4","ARID4B"
"neutrophil","ENSG00000054611","neut1","TBC1D22A"
"neutrophil","ENSG00000054967","neut3","RELT"
"neutrophil","ENSG00000055163","neut3","CYFIP2"
"neutrophil","ENSG00000055208","neut4","TAB2"
"neutrophil","ENSG00000055609","neut2","KMT2C"
"neutrophil","ENSG00000057704","neut1","TMCC3"
"neutrophil","ENSG00000058091","neut2","CDK14"
"neutrophil","ENSG00000058668","neut2","ATP2B4"
"neutrophil","ENSG00000058673","neut4","ZC3H11A"
"neutrophil","ENSG00000058799","neut5","YIPF1"
"neutrophil","ENSG00000059377","neut1","TBXAS1"
"neutrophil","ENSG00000059728","neut4","MXD1"
"neutrophil","ENSG00000059769","neut2","DNAJC25"
"neutrophil","ENSG00000059804","neut6","SLC2A3"
"neutrophil","ENSG00000060069","neut3","CTDP1"
"neutrophil","ENSG00000060971","neut1","ACAA1"
"neutrophil","ENSG00000062194","neut5","GPBP1"
"neutrophil","ENSG00000062282","neut1","DGAT2"
"neutrophil","ENSG00000062650","neut2","WAPL"
"neutrophil","ENSG00000062716","neut2","VMP1"
"neutrophil","ENSG00000064547","neut1","LPAR2"
"neutrophil","ENSG00000064666","neut1","CNN2"
