"cellType","ensemblID","geneSet","symbol"
"eosinophil","ENSG00000196581","eos0","AJAP1"
"eosinophil","ENSG00000272398","eos0","CD24"
"eosinophil","ENSG00000119514","eos0","GALNT12"
"eosinophil","ENSG00000139629","eos0","GALNT6"
"eosinophil","ENSG00000135245","eos0","HILPDA"
"eosinophil","ENSG00000115738","eos0","ID2"
"eosinophil","ENSG00000118513","eos0","MYB"
"eosinophil","ENSG00000272325","eos0","NUDT3"
"eosinophil","ENSG00000158006","eos0","PAFAH2"
"eosinophil","ENSG00000117461","eos0","PIK3R3"
"eosinophil","ENSG00000161055","eos0","SCGB3A1"
"eosinophil","ENSG00000089006","eos0","SNX5"
"eosinophil","ENSG00000151287","eos0","TEX30"
"eosinophil","ENSG00000243943","eos0","ZNF512"
"eosinophil","ENSG00000197933","eos0","ZNF823"
"eosinophil","ENSG00000076555","eos1","ACACB"
"eosinophil","ENSG00000162390","eos1","ACOT11"
"eosinophil","ENSG00000167107","eos1","ACSF2"
"eosinophil","ENSG00000005187","eos1","ACSM3"
"eosinophil","ENSG00000159618","eos1","ADGRG5"
"eosinophil","ENSG00000161905","eos1","ALOX15"
"eosinophil","ENSG00000002726","eos1","AOC1"
"eosinophil","ENSG00000100628","eos1","ASB2"
"eosinophil","ENSG00000182240","eos1","BACE2"
"eosinophil","ENSG00000204161","eos1","C10orf128"
"eosinophil","ENSG00000130433","eos1","CACNG6"
"eosinophil","ENSG00000142408","eos1","CACNG8"
"eosinophil","ENSG00000134072","eos1","CAMK1"
"eosinophil","ENSG00000274736","eos1","CCL23"
"eosinophil","ENSG00000183625","eos1","CCR3"
"eosinophil","ENSG00000010278","eos1","CD9"
"eosinophil","ENSG00000092067","eos1","CEBPE"
"eosinophil","ENSG00000105205","eos1","CLC"
"eosinophil","ENSG00000188822","eos1","CNR2"
"eosinophil","ENSG00000186204","eos1","CYP4F12"
"eosinophil","ENSG00000152207","eos1","CYSLTR2"
"eosinophil","ENSG00000072134","eos1","EPN2"
"eosinophil","ENSG00000158246","eos1","FAM46B"
"eosinophil","ENSG00000010310","eos1","GIPR"
"eosinophil","ENSG00000114315","eos1","HES1"
"eosinophil","ENSG00000168004","eos1","HRASLS5"
"eosinophil","ENSG00000186792","eos1","HYAL3"
"eosinophil","ENSG00000131203","eos1","IDO1"
"eosinophil","ENSG00000157368","eos1","IL34"
"eosinophil","ENSG00000091181","eos1","IL5RA"
"eosinophil","ENSG00000151689","eos1","INPP1"
"eosinophil","ENSG00000133317","eos1","LGALS12"
"eosinophil","ENSG00000149657","eos1","LSM14B"
"eosinophil","ENSG00000184221","eos1","OLIG1"
"eosinophil","ENSG00000205927","eos1","OLIG2"
"eosinophil","ENSG00000162881","eos1","OXER1"
"eosinophil","ENSG00000099957","eos1","P2RX6"
"eosinophil","ENSG00000276231","eos1","PIK3R6"
"eosinophil","ENSG00000109099","eos1","PMP22"
"eosinophil","ENSG00000103355","eos1","PRSS33"
"eosinophil","ENSG00000183134","eos1","PTGDR2"
"eosinophil","ENSG00000119943","eos1","PYROXD2"
"eosinophil","ENSG00000255587","eos1","RAB44"
"eosinophil","ENSG00000071242","eos1","RPS6KA2"
"eosinophil","ENSG00000138623","eos1","SEMA7A"
"eosinophil","ENSG00000105366","eos1","SIGLEC8"
"eosinophil","ENSG00000112759","eos1","SLC29A1"
"eosinophil","ENSG00000092068","eos1","SLC7A8"
"eosinophil","ENSG00000103056","eos1","SMPD3"
"eosinophil","ENSG00000140263","eos1","SORD"
"eosinophil","ENSG00000182557","eos1","SPNS3"
"eosinophil","ENSG00000135605","eos1","TEC"
"eosinophil","ENSG00000160180","eos1","TFF3"
"eosinophil","ENSG00000113296","eos1","THBS4"
"eosinophil","ENSG00000121933","eos1","TMIGD3"
"eosinophil","ENSG00000189068","eos1","VSTM1"
"eosinophil","ENSG00000179627","eos1","ZBTB42"
"eosinophil","ENSG00000144827","eos2","ABHD10"
"eosinophil","ENSG00000004455","eos2","AK2"
"eosinophil","ENSG00000071205","eos2","ARHGAP10"
"eosinophil","ENSG00000177951","eos2","BET1L"
"eosinophil","ENSG00000160325","eos2","CACFD1"
"eosinophil","ENSG00000110651","eos2","CD81"
"eosinophil","ENSG00000089486","eos2","CDIP1"
"eosinophil","ENSG00000110721","eos2","CHKA"
"eosinophil","ENSG00000163050","eos2","COQ8A"
"eosinophil","ENSG00000062485","eos2","CS"
"eosinophil","ENSG00000129187","eos2","DCTD"
"eosinophil","ENSG00000119689","eos2","DLST"
"eosinophil","ENSG00000010219","eos2","DYRK4"
"eosinophil","ENSG00000149547","eos2","EI24"
"eosinophil","ENSG00000139641","eos2","ESYT1"
"eosinophil","ENSG00000165060","eos2","FXN"
"eosinophil","ENSG00000167699","eos2","GLOD4"
"eosinophil","ENSG00000105220","eos2","GPI"
"eosinophil","ENSG00000122986","eos2","HVCN1"
"eosinophil","ENSG00000106003","eos2","LFNG"
"eosinophil","ENSG00000175130","eos2","MARCKSL1"
"eosinophil","ENSG00000078070","eos2","MCCC1"
"eosinophil","ENSG00000066697","eos2","MSANTD3"
"eosinophil","ENSG00000149480","eos2","MTA2"
"eosinophil","ENSG00000168060","eos2","NAALADL1"
"eosinophil","ENSG00000205531","eos2","NAP1L4"
"eosinophil","ENSG00000157045","eos2","NTAN1"
"eosinophil","ENSG00000102900","eos2","NUP93"
"eosinophil","ENSG00000105088","eos2","OLFM2"
"eosinophil","ENSG00000100105","eos2","PATZ1"
"eosinophil","ENSG00000131779","eos2","PEX11B"
"eosinophil","ENSG00000162735","eos2","PEX19"
"eosinophil","ENSG00000166428","eos2","PLD4"
"eosinophil","ENSG00000148229","eos2","POLE3"
"eosinophil","ENSG00000167641","eos2","PPP1R14A"
"eosinophil","ENSG00000173914","eos2","RBM4B"
"eosinophil","ENSG00000204308","eos2","RNF5"
"eosinophil","ENSG00000183431","eos2","SF3A3"
"eosinophil","ENSG00000173349","eos2","SFT2D3"
"eosinophil","ENSG00000147804","eos2","SLC39A4"
"eosinophil","ENSG00000185420","eos2","SMYD3"
"eosinophil","ENSG00000151500","eos2","THYN1"
"eosinophil","ENSG00000166557","eos2","TMED3"
"eosinophil","ENSG00000078967","eos2","UBE2D4"
"eosinophil","ENSG00000076248","eos2","UNG"
"eosinophil","ENSG00000186918","eos2","ZNF395"
"eosinophil","ENSG00000180035","eos2","ZNF48"
"lymphocyte","ENSG00000167972","lymp0","ABCA3"
"lymphocyte","ENSG00000076555","lymp0","ACACB"
"lymphocyte","ENSG00000144476","lymp0","ACKR3"
"lymphocyte","ENSG00000152990","lymp0","ADGRA3"
"lymphocyte","ENSG00000169129","lymp0","AFAP1L2"
"lymphocyte","ENSG00000204147","lymp0","ASAH2B"
"lymphocyte","ENSG00000110881","lymp0","ASIC1"
"lymphocyte","ENSG00000070669","lymp0","ASNS"
"lymphocyte","ENSG00000156966","lymp0","B3GNT7"
"lymphocyte","ENSG00000182240","lymp0","BACE2"
"lymphocyte","ENSG00000176171","lymp0","BNIP3"
"lymphocyte","ENSG00000137274","lymp0","BPHL"
"lymphocyte","ENSG00000185024","lymp0","BRF1"
