"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"unma27",0.510988514106033,3.12516779570171,6.1111398489431,3.90246217728736e-09,2.02928033218942e-07,10.4161523572251
"unma10",-0.555868950006048,-0.901959162139576,-5.15238310253068,5.31911714307195e-07,1.38297045719871e-05,5.68941935553495
"eos3",0.586534770910885,1.23517521183691,4.98361569349464,1.18561684773486e-06,1.91603646597689e-05,4.92311674334671
"unma13",0.548502009390007,-0.718722057027923,4.93705366173812,1.4738742045976e-06,1.91603646597689e-05,4.71533939076959
"epi1",0.549809954800743,0.961353795984977,4.65309000852888,5.37462373469593e-06,5.58960868408377e-05,3.48296769300825
"lymp2",-0.440368880082594,2.56209546076942,-4.14357406767446,4.72233295394818e-05,0.000409268856008842,1.42645319096494
"unma5",0.61098691977175,-1.01399199299093,4.06431983264462,6.50619569776606e-05,0.000483317394691193,1.12499984487777
"unma23",0.331399880552314,3.7286267916386,3.51911926272065,0.000516666803693988,0.00335833422401092,-0.809031452736414
"squa1",0.429297684509882,1.55331210595235,3.3391129934386,0.000972413254395768,0.00561838769206444,-1.39266329810522
"unma24",0.202478554542202,2.95760610913128,3.10311979683142,0.00214129271809418,0.0111347221340897,-2.11536298520681
"mac2",0.385622066785376,3.0287855228056,3.03124321011541,0.00269881219201525,0.0118182087623095,-2.32578032782821
"eos1",0.277212043994692,1.76987866166369,3.02795258176219,0.00272727894514835,0.0118182087623095,-2.33530433350929
"mac1",0.168215154579286,3.320564400863,2.58111968265955,0.0104348901628645,0.0417395606514578,-3.53859904999659
"unma17",0.286156991920636,-0.334005145278462,2.30305989264037,0.0221199775764154,0.0821599167123999,-4.19574138459344
"unma11",0.258325781082432,5.00617282082974,2.19176368274152,0.029345118658303,0.0963312575022348,-4.43871787890328
"neut4",-0.147912558282166,6.51903509028367,-2.18774524637953,0.0296403869237646,0.0963312575022348,-4.44727469895445
"unma31",-0.318621886294713,-0.23685001382851,-1.99649176149101,0.0469951267498675,0.143749799470183,-4.8370205049106
"mac4",0.158870773162253,3.69377194167894,1.89198170960929,0.0596812116861235,0.172412389315468,-5.03543132641027
"eos2",0.0945468039585133,3.52971366330137,1.83204832196693,0.0681669882114177,0.179646787642989,-5.14454288630555
"unma20",-0.139035484589926,4.44896568123,-1.82587645674032,0.0690949183242265,0.179646787642989,-5.15558517264857
"unma22",-0.12193985618499,1.61081561112256,-1.73129448345676,0.084667297019647,0.20965235452484,-5.32026529486875
"unma3",-0.09916424983349,4.67498548051614,-1.62376788001353,0.105720593483762,0.249885039143438,-5.49709983391277
"unma2",-0.0925443926295327,1.83346108228116,-1.49450053439614,0.136341043937151,0.298638126576172,-5.69499532834886
"lymp3",-0.106155063748423,2.40713868600747,-1.48880942130268,0.137832981496695,0.298638126576172,-5.70333799946749
"unma16",-0.103739422627197,4.2708074414403,-1.38491627180397,0.167347032712926,0.348081828042886,-5.85013746987095
"mac3",0.0936792681303855,2.7252022839845,1.35048502100905,0.178115624694997,0.356231249389994,-5.89648410011892
"unma15",-0.0813263331401161,2.03672549605879,-1.31885116922343,0.18845923684148,0.36295853021322,-5.93805217344387
"neut2",-0.0742926720410697,6.24204348935334,-1.26391036918446,0.207472157976511,0.385305436242091,-6.00793765452382
"neut1",-0.0727527032913507,6.58794958452569,-1.22530988030591,0.221643685253072,0.397430056315854,-6.05528301835007
"unma8",-0.116876486938367,4.71898736595019,-1.19787892441873,0.232130144547269,0.402358917215266,-6.08804691323432
